Player,Tm,FantPos,Age,G,GS,Cmp,Att_pass,Yds_pass,TD_pass,Int_pass,Att_rush,Yds_rush,Y/A,TD_rush,Tgt,Rec,Yds_rec,Y/R,TD_rec,Fmb,FL,TD_total,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,Year,Team_Yds,Team_Tgt,Team_Att_rush,Team_Yds_rush
Cedrick Wilson Jr.,MIA,WR,28,15,3,0,0,0,0,0,0,0,0.0,0,38,22,296,13.45,3,0,0,3,0,0,48,69.6,72.6,58.6,0,88,0,2023,6990,542,454,2292
Chris Moore,TEN,WR,30,17,5,0,0,0,0,0,2,39,19.5,0,35,22,424,19.27,0,1,0,0,0,0,46,68.3,71.3,57.3,0,89,0,2023,5367,477,441,1855
Rashod Bateman,BAL,WR,24,16,12,0,0,0,0,0,1,18,18.0,0,56,32,367,11.47,1,0,0,1,0,0,45,76.5,79.5,60.5,0,90,0,2023,6542,473,540,2661
Zay Jones,JAX,WR,28,9,7,0,0,0,0,0,0,0,0.0,0,64,34,321,9.44,2,0,0,2,0,0,44,78.1,81.1,61.1,0,91,0,2023,6010,605,453,1646
Jonathan Mingo,CAR,WR,22,15,14,0,0,0,0,0,0,0,0.0,0,85,43,418,9.72,0,1,0,0,0,0,42,84.8,87.8,63.3,0,92,0,2023,5018,534,444,1780
Greg Dortch,ARI,WR,25,16,4,0,0,0,0,0,1,5,5.0,0,41,24,280,11.67,2,0,0,2,0,0,41,64.5,67.5,52.5,0,93,0,2023,3782,525,395,1921
Isaiah Hodgins,NYG,WR,25,17,9,0,0,0,0,0,0,0,0.0,0,33,21,230,10.95,3,1,1,3,0,0,39,60.0,64.0,49.5,0,95,0,2023,5223,484,453,1872
DeVante Parker,NE,WR,30,13,13,0,0,0,0,0,0,0,0.0,0,55,33,394,11.94,0,0,0,0,0,0,39,72.4,75.4,55.9,0,94,0,2023,5019,541,415,1627
Jake Bobo,SEA,WR,25,17,0,0,0,0,0,0,1,3,3.0,1,25,19,196,10.32,2,0,0,3,0,0,38,56.9,59.9,47.4,0,97,0,2023,5747,547,382,1580
Xavier Gipson,NYJ,WR,22,17,3,0,0,0,0,0,8,68,8.5,1,38,21,229,10.9,0,5,2,2,0,0,38,58.7,63.7,48.2,0,98,0,2023,4747,519,311,1392
Trenton Irwin,CIN,WR,28,16,5,0,0,0,0,0,0,0,0.0,0,32,25,316,12.64,1,2,0,1,0,0,38,62.6,65.6,50.1,0,99,0,2023,5784,592,383,1527
