Tm,Tgt_20,Rec_20,Ctch%_20,Yds_20,TD_20,%Tgt_20,Tgt_10,Rec_10,Ctch%_10,Yds_10,TD_10,%Tgt_10,Highlights,Player,Year
SEA,6,5,83.33%,47,2,9.00%,2,1,50.00%,3,0,7.40%,All Will Dissly red zone receiving plays,Will Dissly,2022
KAN,6,6,100.00%,28,3,5.60%,5,5,100.00%,19,3,7.80%,All Clyde Edwards-Helaire red zone receiving plays,Clyde Edwards-Helaire,2022
WAS,6,3,50.00%,29,2,11.10%,2,2,100.00%,18,2,7.10%,All Antonio Gibson red zone receiving plays,Antonio Gibson,2022
ARI,6,1,16.67%,6,1,9.80%,4,1,25.00%,6,1,14.30%,All A.J. Green red zone receiving plays,A.J. Green,2022
NWE,6,3,50.00%,3,0,13.00%,6,3,50.00%,3,0,21.40%,All Damien Harris red zone receiving plays,Damien Harris,2022
TEN,6,4,66.67%,17,0,10.70%,3,2,66.67%,8,0,12.50%,All Derrick Henry red zone receiving plays,Derrick Henry,2022
2TM,6,6,100.00%,35,4,0.00%,4,4,100.00%,21,4,0.00%,All Isaiah Hodgins red zone receiving plays,Isaiah Hodgins,2022
TEN,6,4,66.67%,35,2,10.70%,2,2,100.00%,10,1,8.30%,All Austin Hooper red zone receiving plays,Austin Hooper,2022
ARI,6,3,50.00%,18,1,9.80%,2,1,50.00%,6,1,7.10%,All DeAndre Hopkins red zone receiving plays,DeAndre Hopkins,2022
TAM,6,4,66.67%,36,1,6.30%,3,1,33.33%,8,1,6.10%,All Julio Jones red zone receiving plays,Julio Jones,2022
NOR,6,2,33.33%,15,1,9.80%,2,1,50.00%,7,1,9.50%,All Jarvis Landry red zone receiving plays,Jarvis Landry,2022
CAR,6,0,0.00%,0,0,15.80%,3,0,0.00%,0,0,17.60%,All Terrace Marshall red zone receiving plays,Terrace Marshall,2022
CHI,6,5,83.33%,51,2,16.20%,3,2,66.67%,6,0,17.60%,All Darnell Mooney red zone receiving plays,Darnell Mooney,2022
ARI,6,2,33.33%,4,0,9.80%,2,0,0.00%,0,0,7.10%,All Rondale Moore red zone receiving plays,Rondale Moore,2022
TEN,6,3,50.00%,28,2,10.70%,3,2,66.67%,18,2,12.50%,All Chigoziem Okonkwo red zone receiving plays,Chigoziem Okonkwo,2022
PIT,6,2,33.33%,21,2,10.70%,4,1,25.00%,7,1,13.80%,All George Pickens red zone receiving plays,George Pickens,2022
IND,6,1,16.67%,15,1,9.50%,3,0,0.00%,0,0,9.40%,All Alec Pierce red zone receiving plays,Alec Pierce,2022
MIN,6,4,66.67%,22,2,6.10%,3,2,66.67%,3,2,5.80%,All Irv Smith red zone receiving plays,Irv Smith,2022
NWE,6,5,83.33%,19,1,13.00%,2,2,100.00%,8,1,7.10%,All Rhamondre Stevenson red zone receiving plays,Rhamondre Stevenson,2022
DEN,6,3,50.00%,12,0,12.20%,3,1,33.33%,6,0,11.10%,All Javonte Williams red zone receiving plays,Javonte Williams,2022
2TM,6,5,83.33%,33,1,0.00%,3,3,100.00%,19,1,0.00%,All Jeff Wilson red zone receiving plays,Jeff Wilson,2022
IND,6,4,66.67%,29,3,9.50%,3,2,66.67%,11,2,9.40%,All Jelani Woods red zone receiving plays,Jelani Woods,2022
ATL,6,4,66.67%,33,3,12.50%,3,1,33.33%,3,1,10.70%,All Olamide Zaccheaus red zone receiving plays,Olamide Zaccheaus,2022
NYJ,5,2,40.00%,7,0,7.90%,3,1,33.33%,1,0,10.70%,All Braxton Berrios red zone receiving plays,Braxton Berrios,2022
NOR,5,2,40.00%,16,1,8.20%,2,1,0.5,4,1,9.50%,All Marquez Callaway red zone receiving plays,Marquez Callaway,2022
ARI,5,4,80.00%,15,2,8.20%,3,3,100.00%,15,2,10.70%,All Greg Dortch red zone receiving plays,Greg Dortch,2022
BAL,5,3,60.00%,29,1,7.10%,1,1,100.00%,5,1,3.40%,All Kenyan Drake red zone receiving plays,Kenyan Drake,2022
JAX,5,3,60.00%,2,0,6.60%,2,1,50.00%,2,0,6.30%,All Travis Etienne red zone receiving plays,Travis Etienne,2022
KAN,5,2,40.00%,11,2,4.70%,5,2,40.00%,11,2,7.80%,All Jody Fortson red zone receiving plays,Jody Fortson,2022
NYJ,5,3,60.00%,17,1,0.079,2,2,100.00%,14,1,0.071,All Breece Hall red zone receiving plays,Breece Hall,2022
NOR,5,4,80.00%,11,0,8.20%,3,2,66.67%,6,0,14.30%,All Mark Ingram red zone receiving plays,Mark Ingram,2022
CIN,5,3,60.00%,18,2,5.70%,3,2,66.67%,5,2,8.60%,All Trenton Irwin red zone receiving plays,Trenton Irwin,2022
LAR,5,4,80.00%,20,2,7.60%,3,2,66.67%,10,2,7.70%,All Van Jefferson red zone receiving plays,Van Jefferson,2022
MIN,5,5,100.00%,33,1,5.10%,1,1,100.00%,-1,0,1.90%,All Alexander Mattison red zone receiving plays,Alexander Mattison,2022
LVR,5,2,40.00%,9,2,7.20%,3,2,66.67%,9,2,9.10%,All Foster Moreau red zone receiving plays,Foster Moreau,2022
SEA,5,2,40.00%,19,1,7.50%,1,0,0.00%,0,0,3.70%,All Colby Parkinson red zone receiving plays,Colby Parkinson,2022
ATL,5,3,60.00%,9,2,10.40%,4,3,75.00%,9,2,14.30%,All Kyle Pitts red zone receiving plays,Kyle Pitts,2022
HOU,5,2,40.00%,10,2,7.60%,3,2,66.67%,10,2,12.00%,All Teagan Quitoriano red zone receiving plays,Teagan Quitoriano,2022
LVR,5,3,60.00%,34,2,7.20%,1,0,0.00%,0,0,3.00%,All Hunter Renfrow red zone receiving plays,Hunter Renfrow,2022
CAR,5,2,40.00%,32,2,13.20%,1,0,0.00%,0,0,5.90%,All Shi Smith red zone receiving plays,Shi Smith,2022
TEN,5,3,60.00%,7,1,8.90%,2,2,100.00%,4,1,8.30%,All Geoff Swaim red zone receiving plays,Geoff Swaim,2022
NWE,5,3,60.00%,17,2,10.90%,4,2,50.00%,9,2,14.30%,All Tyquan Thornton red zone receiving plays,Tyquan Thornton,2022
KAN,5,5,100.00%,28,2,4.70%,4,4,100.00%,25,2,6.30%,All Kadarius Toney red zone receiving plays,Kadarius Toney,2022
GNB,5,2,40.00%,14,0,6.80%,0,0,0.00%,0,0,0.00%,All Robert Tonyan red zone receiving plays,Robert Tonyan,2022
GNB,5,2,40.00%,13,0,6.80%,2,0,0.00%,0,0,6.30%,All Sammy Watkins red zone receiving plays,Sammy Watkins,2022
DET,5,5,100.00%,34,3,5.80%,4,4,1,17,3,9.80%,All Brock Wright red zone receiving plays,Brock Wright,2022
IND,4,3,75.00%,25,3,6.30%,3,2,66.67%,11,2,9.40%,All Mo Alie-Cox red zone receiving plays,Mo Alie-Cox,2022
ARI,4,3,75.00%,18,0,6.60%,1,0,0.00%,0,0,3.60%,All Eno Benjamin red zone receiving plays,Eno Benjamin,2022
NWE,4,3,75.00%,23,1,8.70%,2,1,50.00%,5,1,7.10%,All Kendrick Bourne red zone receiving plays,Kendrick Bourne,2022
TAM,4,1,25.00%,8,0,4.20%,2,0,0.00%,0,0,4.10%,All Cameron Brate red zone receiving plays,Cameron Brate,2022
TEN,4,2,50.00%,19,0,7.10%,3,1,33.33%,6,0,12.50%,All Treylon Burks red zone receiving plays,Treylon Burks,2022
DET,4,2,50.00%,10,1,4.70%,2,1,50.00%,1,1,4.90%,All DJ Chark red zone receiving plays,DJ Chark,2022
NYJ,4,3,75.00%,20,3,6.30%,3,3,100.00%,20,3,10.70%,All Tyler Conklin red zone receiving plays,Tyler Conklin,2022
ARI,4,3,75.00%,19,1,6.60%,2,1,50.00%,6,1,7.10%,All James Conner red zone receiving plays,James Conner,2022
GNB,4,2,50.00%,12,0,5.40%,2,1,50.00%,6,0,6.30%,All AJ Dillon red zone receiving plays,AJ Dillon,2022
IND,4,3,75.00%,34,1,6.30%,2,1,50.00%,7,0,6.30%,All Ashton Dulin red zone receiving plays,Ashton Dulin,2022
MIA,4,3,75.00%,28,1,6.50%,2,1,50.00%,7,1,6.50%,All Chase Edmonds red zone receiving plays,Chase Edmonds,2022
SEA,4,3,75.00%,27,1,6.00%,0,0,0.00%,0,0,0.00%,All Marquise Goodwin red zone receiving plays,Marquise Goodwin,2022
KAN,4,3,75.00%,28,1,3.70%,2,1,0.5,5,0,3.10%,All Noah Gray red zone receiving plays,Noah Gray,2022
DEN,4,3,75.00%,22,0,8.20%,2,2,100.00%,8,0,7.40%,All Kendall Hinton red zone receiving plays,Kendall Hinton,2022
DET,4,3,75.00%,19,1,4.70%,1,1,100.00%,2,1,2.40%,All Justin Jackson red zone receiving plays,Justin Jackson,2022
LVR,4,2,50.00%,7,0,5.80%,1,0,0.00%,0,0,3.00%,All Josh Jacobs red zone receiving plays,Josh Jacobs,2022
WAS,4,0,0.00%,0,0,7.40%,4,0,0.00%,0,0,14.30%,All J.D. McKissic red zone receiving plays,J.D. McKissic,2022
LAC,4,1,25.00%,3,0,4.20%,4,1,25.00%,3,0,8.70%,All Tre' McKitty red zone receiving plays,Tre' McKitty,2022
TAM,4,2,50.00%,12,0,4.20%,3,1,33.33%,5,0,6.10%,All Scott Miller red zone receiving plays,Scott Miller,2022
NWE,4,3,75.00%,12,1,8.70%,2,1,50.00%,2,1,7.10%,All DeVante Parker red zone receiving plays,DeVante Parker,2022
CHI,4,2,50.00%,8,1,10.80%,2,1,50.00%,6,1,11.80%,All Dante Pettis red zone receiving plays,Dante Pettis,2022
LAR,4,4,100.00%,17,0,6.10%,2,2,100.00%,4,0,5.10%,All Brandon Powell red zone receiving plays,Brandon Powell,2022
NWE,4,3,75.00%,14,0,8.70%,2,1,50.00%,8,0,7.10%,All Jonnu Smith red zone receiving plays,Jonnu Smith,2022
IND,4,0,0.00%,0,0,6.30%,3,0,0.00%,0,0,9.40%,All Mike Strachan red zone receiving plays,Mike Strachan,2022
DEN,4,2,50.00%,6,2,8.20%,4,2,50.00%,6,2,14.80%,All Eric Tomlinson red zone receiving plays,Eric Tomlinson,2022
